UK SPECTRUM FREQUENCIES BAND USE (1 kHz - 80 GHz) 2019


9 kHz - 148 kHz Licence Exempt, Metal Detectors
9 kHz - 185 kHz Licence Exempt, Inductive
9 kHz - 315 kHz Licence Exempt, Active Medical Implants
9 kHz - 270 GHz Licence Exempt, Ultra-Wideband

9 kHz - 250 GHz Technology Development, Non-operational Development
9 kHz - 250 GHz Technology Development, Non-operational Temporary Use

135 kHz - 137 kHz Amateur Radio, Amateur Radio Foundation Licence
135 kHz - 137 kHz Amateur Radio, Amateur Radio Full Licence
135 kHz - 137 kHz Amateur Radio, Amateur Radio Intermediate Licence

148 kHz - 283 kHz Broadcasting Services, National and Local Radio Broadcasting (LW)

148 kHz - 1600 kHz Licence Exempt, Inductive
240 kHz - 315 kHz Licence Exempt, Inductive

255 kHz - 283 kHz Aeronautical, Aeronautical Navigation Aid Stations
283 kHz - 315 kHz Aeronautical, Aeronautical Navigation Aid Stations

283 kHz - 315 kHz Maritime Radio, Differential Global Positioning System
283 kHz - 315 kHz Maritime Radio, Maritime Navigational Aids and Radar
283 kHz - 315 kHz Maritime Radio, Suppliers and Demonstration

300 kHz - 30 MHz Licence Exempt, Active medical implants

315 kHz - 325 kHz Aeronautical, Aeronautical Navigation Aid Stations

315 kHz - 600 kHz Licence Exempt, Animal Implantable Devices

325 kHz - 405 kHz Aeronautical, Aeronautical Navigation Aid Stations

400 kHz - 600 kHz Licence Exempt, Inductive

415 kHz - 435 kHz Aeronautical, Aeronautical Navigation Aid Stations

415 kHz - 526 kHz Maritime Radio, Maritime Radio (Suppliers and Demonstration)
415 kHz - 526 kHz Maritime Radio, Ship Radio
435 kHz - 495 kHz Aeronautical, Aeronautical Navigation Aid Stations
435 kHz - 495 kHz Maritime Radio, Differential Global Positioning System

456 kHz - 457 kHz Licence Exempt, Devices for locating victims in distress or at risk
457 kHz - 457 kHz Licence Exempt, Emergency detection

505 kHz - 526 kHz Aeronautical, Aeronautical Navigation Aid Stations
505 kHz - 526 kHz Maritime Radio, Differential Global Positioning System

516 kHz - 8516 kHz Licence Exempt, Railway Applications

526 kHz - 1605 kHz Broadcasting Services, Restricted Radio Services Transmission (Class A - Freely Radiating)
526 kHz - 1605 kHz Broadcasting Services, Transmission of National and Local Radio Broadcasting (MW)

984 kHz - 7484 kHz Licence Exempt, Railway Applications

1600 kHz - 3000 kHz Licence Exempt, Inductive

1605 kHz - 27.5 MHz Maritime Radio, Ship Radio
1606 kHz - 4000 kHz Maritime Radio, Maritime Navigational Aids and Radar
1606 kHz - 27.5 MHz Maritime Radio, Maritime Radio (Suppliers and Demonstration)
1625 kHz - 1635 kHz Maritime Radio, Differential Global Positioning System

1642 kHz - 1782 kHz Licence Exempt, Cordless Telephone Apparatus (CT1; extended CT1; CT2 and DECT)

1800 kHz - 1810 kHz Maritime Radio, Differential Global Positioning System

1810 kHz - 1830 kHz Amateur Radio, Amateur Radio Foundation Licence
1810 kHz - 2000 kHz Amateur Radio, Amateur Radio Full Licence
1810 kHz - 2000 kHz Amateur Radio, Amateur Radio Intermediate Licence
1830 kHz - 1850 kHz Amateur Radio, Amateur Radio Foundation Licence
1850 kHz - 2000 kHz Amateur Radio, Amateur Radio Foundation Licence

1850 kHz - 2000 kHz Maritime Radio, Differential Global Positioning System
2000 kHz - 2025 kHz Maritime Radio, Differential Global Positioning System
2160 kHz - 2170 kHz Maritime Radio, Differential Global Positioning System
2625 kHz - 2650 kHz Maritime Radio, Differential Global Positioning System
2650 kHz - 2850 kHz Maritime Radio, Differential Global Positioning System

2850 kHz - 3025 kHz Aeronautical, Aeronautical Ground Station (High Frequency)
2850 kHz - 3025 kHz Aeronautical, Aircraft

3155 kHz - 3200 kHz Maritime Radio, Differential Global Positioning System
3200 kHz - 3230 kHz Maritime Radio, Differential Global Positioning System

3400 kHz - 3500 kHz Aeronautical, Aeronautical Ground Station (High Frequency)
3400 kHz - 3500 kHz Aeronautical, Aircraft

3500 kHz - 3800 kHz Amateur Radio, Amateur Radio Foundation Licence
3500 kHz - 3800 kHz Amateur Radio, Amateur Radio Full Licence
3500 kHz - 3800 kHz Amateur Radio, Amateur Radio Intermediate Licence

3500 kHz - 3800 kHz Maritime Radio, Differential Global Positioning System
4650 kHz - 4700 kHz Aeronautical, Aeronautical Ground Station (High Frequency)
4650 kHz - 4700 kHz Aeronautical, Aircraft

5000 kHz - 30 MHz   Licence Exempt, Inductive

5480 kHz - 5680 kHz Aeronautical, Aeronautical Ground Station (High Frequency)
5480 kHz - 5680 kHz Aeronautical, Aircraft

5680 kHz   International SAR Search & Rescue HF Primary

6525 kHz - 6685 kHz Aeronautical, Aeronautical Ground Station (High Frequency)
6525 kHz - 6685 kHz Aeronautical, Aircraft

6765 kHz - 6795 kHz Licence Exempt, Non-Specific Short Range Device

7000 kHz - 7200 kHz - Amateur Radio, Amateur Radio Foundation Licence
7000 kHz - 7200 kHz - Amateur Radio,Amateur Radio Full Licence
7000 kHz - 7200 kHz - Amateur Radio, Amateur Radio Intermediate Licence

7300 kHz - 23000 kHz - Licence Exempt, Railway Applications

8815 kHz - 8965 kHz - Aeronautical, Aeronautical Ground Station (High Frequency)
8815 kHz - 8965 kHz - Aeronautical, Aircraft

10005 kHz - 10100 kHz - Aeronautical, Aeronautical Ground Station (High Frequency)
10005 kHz - 10100 kHz - Aeronautical, Aircraft

10100 kHz - 10150 kHz - Amateur Radio, Amateur Radio Foundation Licence
10100 kHz - 10150 kHz - Amateur Radio, Amateur Radio Full Licence
10100 kHz - 10150 kHz - Amateur Radio, Amateur Radio Intermediate Licence

11275 kHz - 11400 kHz - Aeronautical, Aeronautical Ground Station (High Frequency)
11275 kHz - 11400 kHz - Aeronautical, Aircraft

12500 kHz - 20000 kHz - Licence Exempt, Active medical implants
12500 kHz - 20000 kHz - Licence Exempt, Animal Implantable Devices

13260 kHz - 13360 kHz - Aeronautical, Aeronautical Ground Station (High Frequency)
13260 kHz - 13360 kHz - Aeronautical, Aircraft

13553 kHz - 13567 kHz - Licence Exempt, Non-Specific Short Range Device
13553 kHz - 13567 kHz - Licence Exempt, Radio Frequency Identification (RFID)

14000 kHz - 14350 kHz - Amateur Radio, Amateur Radio Foundation Licence
14000 kHz - 14350 kHz - Amateur Radio, Amateur Radio Full Licence
14000 kHz - 14350 kHz - Amateur Radio, Amateur Radio Intermediate Licence
14250 kHz - 14350 kHz - Amateur Radio, Amateur Radio Foundation Licence

17900 kHz - 17970 kHz - Aeronautical, Aeronautical Ground Station (High Frequency)
17900 kHz - 17970 kHz - Aeronautical, Aircraft

18068 kHz - 18168 kHz - Amateur Radio, Amateur Radio Foundation Licence
18068 kHz - 18168 kHz - Amateur Radio, Amateur Radio Full Licence
18068 kHz - 18168 kHz - Amateur Radio, Amateur Radio Intermediate Licence
21000 kHz - 21450 kHz - Amateur Radio, Amateur Radio Foundation Licence
21000 kHz - 21450 kHz - Amateur Radio, Amateur Radio Full Licence
21000 kHz - 21450 kHz - Amateur Radio, Amateur Radio Intermediate Licence

21924 kHz - 22000 kHz - Aeronautical, Aeronautical Ground Station (High Frequency)
21924 kHz - 22000 kHz - Aeronautical, Aircraft

24890 kHz - 24990 kHz - Amateur Radio, Amateur Radio Foundation Licence
24890 kHz - 24990 kHz - Amateur Radio, Amateur Radio Full Licence
24890 kHz - 24990 kHz - Amateur Radio, Amateur Radio Intermediate Licence

26225 kHz - 26250 kHz - Business Radio, Business Radio (Simple Site)
26397 kHz - 26422 kHz - Business Radio, Business Radio (Simple Site)
26425 kHz - 26450 kHz - Business Radio, Business Radio (Simple Site)
26450 kHz - 26475 kHz - Business Radio, Business Radio (Simple Site)
26532 kHz - 26557 kHz - Business Radio, Business Radio (Simple Site)
26575 kHz - 26600 kHz - Business Radio, Business Radio (Simple Site)
26603 kHz - 26628 kHz - Business Radio, Business Radio (Simple Site)
26657 kHz - 26682 kHz - Business Radio, Business Radio (Simple Site)
26713 kHz - 26738 kHz - Business Radio, Business Radio (Simple Site)
26803 kHz - 26828 kHz - Business Radio, Business Radio (Simple Site)
26822 kHz - 26847 kHz - Business Radio, Business Radio (Suppliers Light)
26852 kHz - 26877 kHz - Business Radio, Business Radio (Simple Site)
26853 kHz - 26878 kHz - Business Radio, Business Radio (Simple Site)
26907 kHz - 26932 kHz - Business Radio, Business Radio (Suppliers Light)

26835 kHz - Radio Paging Hire (26.8350 MHz)
26920 kHz - Radio Paging Hire (26.9200 MHz)

